,Hidden Feature-1,Hidden Feature-2,Type
0,-16.393375,-24.86174,Normal
1,-15.445164,-24.754547,Normal
2,-12.624755,-34.852585,Normal
3,-15.343017,-29.387606,Normal
4,-6.5535097,-20.84797,Normal
5,-14.055735,-17.644821,Normal
6,-0.8625082,-15.799599,Normal
7,15.625714,-18.755877,Normal
8,-2.2560668,-14.235191,Normal
9,-23.173555,-7.698598,Normal
10,-12.781058,-18.253988,Normal
11,5.360123,-40.98772,Normal
12,2.5402572,-43.82468,Normal
13,-16.859203,-24.596624,Normal
14,-15.65714,-24.850286,Normal
15,-14.334396,-38.005634,Normal
16,-15.475467,-26.895416,Normal
17,-13.27855,-30.365133,Normal
18,-6.3438263,-24.040262,Normal
19,-2.3561568,-16.785526,Normal
20,-1.0601488,-15.891846,Normal
21,15.419637,-19.477915,Normal
22,14.929533,-18.981144,Normal
23,13.156871,-32.52105,Normal
24,-13.737191,-19.83654,Normal
25,5.3349557,-40.859985,Normal
26,-17.138828,-21.838432,Normal
27,-16.353626,-25.238459,Normal
28,-14.250559,-22.686558,Normal
29,-15.172298,-26.621597,Normal
30,-15.258151,-29.294292,Normal
31,-15.191826,-31.292685,Normal
32,-4.356583,-22.379908,Normal
33,-0.35022166,-18.783178,Normal
34,-1.2311016,-16.719543,Normal
35,-3.2228668,-16.39964,Normal
36,16.340996,-19.06655,Normal
37,-13.175887,-21.25297,Normal
38,-14.010473,-19.324818,Normal
39,-14.585338,-21.05987,Normal
40,-15.65712,-21.66861,Normal
41,-14.295531,-22.273056,Normal
42,-14.284948,-25.941557,Normal
43,-14.167512,-23.014181,Normal
44,-14.040789,-30.035818,Normal
45,-6.0644274,-19.999208,Normal
46,-5.232799,-20.77823,Normal
47,-1.1427788,-19.154213,Normal
48,-3.0700977,-16.914364,Normal
49,-4.8898525,-15.166106,Normal
50,-5.535554,-15.0321,Normal
51,-13.128371,-21.136106,Normal
52,-14.197284,-20.600288,Normal
53,-14.766341,-20.947428,Normal
54,-12.816043,-23.30325,Normal
55,-14.402301,-22.360144,Normal
56,-13.988899,-25.291988,Normal
57,-12.932501,-27.375126,Normal
58,-9.722261,-31.501688,Normal
59,-5.536812,-20.665752,Normal
60,-5.3937488,-20.458231,Normal
61,-4.7343917,-19.964767,Normal
62,3.0929487,-15.042526,Normal
63,-4.9603286,-15.150828,Normal
64,-5.648983,-14.841333,Normal
65,15.912104,-32.53987,Normal
66,-13.747875,-20.154928,Normal
67,-15.066901,-21.001535,Normal
68,-14.838176,-21.147144,Normal
69,3.33413,3.5923545,Normal
70,-14.151806,-27.19886,Normal
71,-14.081137,-26.74433,Normal
72,3.3347926,6.051084,Normal
73,-6.056617,-19.990728,Normal
74,11.58357,-14.496625,Normal
75,5.4630933,-7.4556117,Normal
76,-4.7610574,-15.285895,Normal
77,1.7731318,3.8892195,Normal
78,8.505695,-17.184889,Normal
79,16.416336,-32.91155,Normal
80,3.448627,6.2302256,Normal
81,2.6235168,4.067818,Normal
82,7.0609174,-35.96952,Normal
83,2.3865173,3.2718005,Normal
84,-13.973089,-25.09907,Normal
85,3.493843,5.658654,Normal
86,-9.547209,-31.604597,Normal
87,-5.026039,-21.654562,Normal
88,-13.883874,-24.679388,Normal
89,3.3034253,-18.791023,Normal
90,15.811515,-11.553346,Normal
91,2.3105507,3.835238,Normal
92,-5.81576,-14.641979,Normal
93,-10.697349,1.8319854,Normal
94,2.9868677,4.219317,Normal
95,2.9959667,4.305118,Normal
96,-15.784652,-22.447,Normal
97,-19.719551,-16.367092,Normal
98,3.010505,4.561743,Normal
99,-10.320511,-32.159367,Normal
100,-2.7488382,-35.29434,Normal
101,-1.5315452,-30.336372,Normal
102,6.4290876,-24.712904,Normal
103,7.230565,-24.781853,Normal
104,10.932434,-25.013844,Normal
105,13.471412,-28.799726,Normal
106,13.670154,-30.583128,Normal
107,11.635388,-38.11265,Normal
108,11.045748,-40.526455,Normal
109,8.913099,-43.201813,Normal
110,5.253316,-44.810947,Normal
111,-3.6562347,-45.107967,Normal
112,-4.7988048,-40.26996,Normal
113,-2.948569,-37.122005,Normal
114,-2.6245742,-35.037807,Normal
115,-1.0673163,-30.313719,Normal
116,6.3743033,-24.851814,Normal
117,8.080182,-23.708754,Normal
118,11.384068,-26.84626,Normal
119,14.110093,-28.024351,Normal
120,14.249897,-31.19956,Normal
121,11.338592,-39.885315,Normal
122,11.087609,-40.59685,Normal
123,9.524774,-43.72649,Normal
124,5.2427406,-44.832382,Normal
125,-2.4960997,-45.81616,Normal
126,-4.749569,-40.31772,Normal
127,-3.1416862,-37.53788,Normal
128,-3.2706673,-35.160484,Normal
129,-0.74086773,-30.394611,Normal
130,17.508982,-9.727434,Normal
131,7.4830894,-25.71414,Normal
132,13.475556,-24.201775,Normal
133,20.472536,-1.4195278,Normal
134,13.6941,-31.003736,Normal
135,12.359582,-39.497944,Normal
136,13.029502,-3.4821675,Normal
137,4.7879257,-49.87209,Normal
138,19.730103,-4.934449,Normal
139,-4.747807,-48.022633,Normal
140,-9.392856,-41.367104,Normal
141,-5.002648,-36.896717,Normal
142,-4.229388,-38.812378,Normal
143,-2.0221837,-56.35075,Normal
144,4.6361556,-25.380033,Normal
145,5.6306763,-18.792528,Normal
146,12.687719,-24.30092,Normal
147,15.856139,-28.30091,Normal
148,13.656395,-35.64943,Normal
149,10.429467,-43.822235,Normal
150,9.9519415,-43.828682,Normal
151,4.8596478,-50.22344,Normal
152,-6.026852,-50.703453,Normal
153,-4.281938,-49.2274,Normal
154,-7.436023,-54.029724,Normal
155,-8.03383,-54.01709,Normal
156,-4.1138816,-38.967667,Normal
157,-1.9649754,-56.569595,Normal
158,-1.872778,-59.56653,Normal
159,-1.6535791,-59.686703,Normal
160,13.678048,-26.177511,Normal
161,13.75232,-26.512264,Normal
162,3.981076,-57.67107,Normal
163,5.7362065,-55.41851,Normal
164,6.6549387,-52.77173,Normal
165,5.1488385,-51.0533,Normal
166,-4.2266912,-49.368355,Normal
167,-8.11285,-41.709156,Normal
168,-8.259106,-41.433945,Normal
169,-4.1502414,-38.925713,Normal
170,-4.4037075,-55.701637,Normal
171,-2.0403767,-57.435547,Normal
172,-1.4058384,-58.522247,Normal
173,5.7529826,-18.861017,Normal
174,12.858504,-24.495035,Normal
175,16.186533,-25.319778,Normal
176,13.535785,-35.051495,Normal
177,10.939363,-43.590652,Normal
178,10.012608,-44.37131,Normal
179,4.716767,-50.133747,Normal
180,-5.091656,-49.077084,Normal
181,-8.029162,-53.198906,Normal
182,-5.515009,-42.325607,Normal
183,-4.9232607,-36.624275,Normal
184,-3.0412617,-34.179756,Normal
185,-1.678466,-57.70766,Normal
186,-1.5715659,-58.588055,Normal
187,5.9138646,-20.78812,Normal
188,13.0311985,-24.736792,Normal
189,13.532882,-26.395031,Normal
190,11.035161,-35.541107,Normal
191,12.569308,-43.23791,Normal
192,9.32076,-44.228214,Normal
193,4.747245,-50.0881,Normal
194,-5.6750107,-50.04811,Normal
195,-8.550235,-41.800243,Normal
196,-6.2669373,-41.059,Normal
197,-8.519827,-54.088715,Normal
198,-0.5414793,-28.552322,Normal
199,-1.451222,-57.077084,Normal
200,-15.123963,21.277609,Normal
201,-20.268633,20.839453,Normal
202,-14.51424,19.607502,Normal
203,-11.951785,23.128864,Normal
204,-16.009607,21.744392,Normal
205,-20.202713,19.189777,Normal
