,Hidden Feature-1,Hidden Feature-2,Type
0,-30.90673,-29.964378,Normal
1,-43.706894,-34.982075,Normal
2,-51.084354,-29.385519,Normal
3,-43.787773,-34.76132,Normal
4,-48.003918,-23.105196,Normal
5,-37.373783,-13.690972,Normal
6,-32.509975,-20.72304,Normal
7,-27.835096,-18.44413,Normal
8,-45.551373,7.006451,Normal
9,-63.07022,8.578757,Normal
10,-40.096176,-8.877579,Normal
11,-58.629795,13.942231,Normal
12,-52.59999,12.717389,Normal
13,-28.6606,-39.553986,Normal
14,-37.672253,-38.03089,Normal
15,-53.784496,7.2046523,Normal
16,-43.39144,-34.579704,Normal
17,-47.980442,-23.29002,Normal
18,-55.067204,11.865341,Normal
19,-38.625916,-16.583347,Normal
20,-30.163864,-17.376593,Normal
21,-32.295605,-20.791761,Normal
22,-23.332605,-18.05079,Normal
23,-21.810158,-21.578903,Normal
24,-55.705185,1.8424096,Normal
25,-52.89539,-3.8109806,Normal
26,-42.767918,-5.0517583,Normal
27,-52.626694,12.923484,Normal
28,-53.89483,7.131356,Normal
29,-43.35824,-34.701244,Normal
30,-52.294807,-32.14434,Normal
31,-55.22463,12.309851,Normal
32,-38.812664,-21.387089,Normal
33,-58.764782,13.720633,Normal
34,-27.951216,-18.648417,Normal
35,-59.83318,15.25886,Normal
36,-25.0838,-16.62658,Normal
37,-51.437283,-3.8001163,Normal
38,-10.87435,-22.735292,Normal
39,-23.534111,-35.209908,Normal
40,-52.847363,-3.6847923,Normal
41,-43.031193,-3.8363373,Normal
42,-39.026367,-40.08692,Normal
43,-53.814922,8.075546,Normal
44,-51.016464,-29.18999,Normal
45,-48.783886,-24.743597,Normal
46,-39.25381,-16.584251,Normal
47,-35.777325,-14.30625,Normal
48,-28.72957,-17.625216,Normal
49,-24.956947,-18.411718,Normal
50,-23.29285,-19.573,Normal
51,-11.577461,-23.942493,Normal
52,-10.903626,-22.772083,Normal
53,-23.635246,-35.784393,Normal
54,-23.088356,-44.93626,Normal
55,-40.15604,1.1140082,Normal
56,-38.36139,-38.88835,Normal
57,-52.09434,-33.120678,Normal
58,-55.534973,-27.483747,Normal
59,-55.447536,12.328226,Normal
60,-39.08442,-15.703592,Normal
61,-35.774517,-14.349521,Normal
62,-26.80292,-18.62478,Normal
63,-31.68163,-7.584621,Normal
64,-23.1002,-19.753296,Normal
65,-55.14408,2.8378825,Normal
66,-22.468552,-35.900658,Normal
67,-23.100328,-35.91723,Normal
68,-26.26953,-39.747017,Normal
69,-26.775078,-40.42397,Normal
70,-39.8112,-40.223454,Normal
71,-56.22364,-25.481092,Normal
72,-51.113018,6.7573576,Normal
73,-57.37847,14.313844,Normal
74,-39.39048,-16.87511,Normal
75,-56.73305,17.174082,Normal
76,-37.665752,-6.3944125,Normal
77,-24.189157,-18.577305,Normal
78,-50.48872,-2.651943,Normal
79,-40.10013,-8.919258,Normal
80,-23.392365,-35.08951,Normal
81,-52.596516,14.2162895,Normal
82,-26.157778,-40.14428,Normal
83,-59.67758,13.189843,Normal
84,-43.802277,-6.6362443,Normal
85,-53.56976,7.458407,Normal
86,-58.92992,10.321258,Normal
87,-48.581585,-23.978727,Normal
88,-39.38647,-15.921679,Normal
89,-60.080063,10.51054,Normal
90,-28.133682,-17.550575,Normal
91,-23.460161,-18.39283,Normal
92,-22.668533,-20.623846,Normal
93,-11.069785,-22.757149,Normal
94,-50.281364,12.849095,Normal
95,-24.585962,-35.865116,Normal
96,-50.505913,-2.905823,Normal
97,-42.811443,-5.121976,Normal
